구분,기관명,주소,전화,팩스,긴급연락처,이메일,관할/비고,담당자(확인필요)
공관,주시안 총영사관,西安市高新区科技路33号 国际商务中心 19层 710075,+86-29-8835-1001,+86-29-8835-1002,+86-187-1091-0838,xian@mofa.go.kr,산시·간쑤·닝샤,
공관,주우한 총영사관,武汉市江汉区新华路218号 浦发银行大厦 4层/19层 430022,+86-27-8556-1085,+86-27-8574-1085,+86-159-2626-1124,wuhan@mofa.go.kr,후베이·후난·허난·장시,
공관,주홍콩 총영사관,"5-6/F Far East Finance Centre, 16 Harcourt Rd, Hong Kong",+852-2529-4141,+852-2861-3699,+852-9731-0092,hkg-info@mofa.go.kr,홍콩·마카오,서만교 총영사(검색기준)
공관,주다롄 출장소,"33F Hongyuan B/D, 23 Renmin Rd, Zhongshan, Dalian 116001",+86-411-8235-6288,,+86-158-4085-1230,dalian@mofa.go.kr,다롄,
유관,한국무역협회 베이징지부,北京 国贸写字楼 1座,+86-10-6505-2671~3,+86-10-6505-2670,,beijingk@kita.net,,
유관,한국무역협회 상하이지부,"Room 1407, Shanghai Int'l Trade Center, No.2201 Yan An Rd (W)",+86-21-6236-8291,,,kitash01@kita.net,,
유관,중진공 GBC 베이징,POSCO Center A동 28F 왕징,+86-10-6410-6162(내선40),+86-10-6505-2310,,thoga@kosmes.or.kr,,도준형 소장
유관,중진공 GBC 상하이,上海市闵行区莲花南路3130号 行政楼 3层,+86-166-2119-6827,+86-21-6278-3723,,deejay@kosmes.or.kr,,문재성 소장
유관,중진공 GBC 충칭,重庆市江北区洋河一路68号 协信中心 C座 12楼 3号,+86-23-6705-2399,,,sklee@kosmes.or.kr,,이상근 소장
유관,중진공 GBC 광저우,,+86-20-2208-1604,,,,,
유관,aT 홍콩지사,"Room 1003, 10F Jubilee Centre, 18 Fenwick St, Wanchai",+852-2588-1614/16,+852-2588-1919,,,,
유관,메인비즈협회 광동성지회,선전·광저우·둥관·후이저우,,,,,김명진 회장님 경유,손종수 초대 지회장
